"","Name_of_Business_Entity_or_Individual","Department","Start Date"
"1","Terracon Consultants, Inc.","Capital Renewal and Portables",2022-02-01
"2","Terracon Consultants, Inc.","Capital Renewal and Portables",2021-12-07
"3","Terracon Consultants, Inc.","Capital Renewal and Portables",2021-03-09
"4","Gallagher Bassett Services","Capital Renewal and Portables",2020-03-09
"5","Terracon Consultants, Inc.","Capital Renewal and Portables",2020-05-05
"6","Terracon Consultants, Inc.","Capital Renewal and Portables",2020-10-13
"7","Terracon Consultants, Inc.","Capital Renewal and Portables",2020-10-20
"8","Terracon Consultants, Inc.","Capital Renewal and Portables",NA
"9","Baker Barrios Architects, Inc.","Capital Renewal and Portables",2019-08-26
"10","Softchoice Corporation","ITS - Information Technology Services",2019-02-19
"11","Bright House Networks, LLC","ITS - Information Technology Services",NA
"12","Arthur J. Gallagher Risk Management Services, Inc.","Risk Management",2019-02-26
"13","EasyVista, Inc","ITS - Information Technology Services",2018-01-24
"14","AT&T Corp","ITS - Information Technology Services",2018-05-14
"15","BLOOD HOUND, LLC","Capital Renewal and Portables",2019-11-13
"16","Multiple Vendors Awarded","Procurement Services",2019-05-15
"17","HNM Enterprises LLC","Procurement Services",2018-12-12
"18","James Carrier Services Inc","Procurement Services",2018-12-12
"19","iFixYouri Corp","ITS - Information Technology Services",2018-10-10
"20","United Data Technologies","ITS - Information Technology Services",2018-10-10
"21","Presentation Binding Solutions, LLC","Curriculum and Instruction",2018-08-08
"22","ACCO Brands Corporation","Curriculum and Instruction",2018-08-08
"23","Audio Visual Innovations, Inc","Curriculum and Instruction",2018-08-08
"24","B & H Foto & Electronics Corp.","ITS - Information Technology Services",2018-09-12
"25","Bulb Solutions Inc","ITS - Information Technology Services",2018-09-12
"26","Camcor, Inc.","ITS - Information Technology Services",2018-09-12
"27","Lamp sales Unlimited Inc","ITS - Information Technology Services",2018-09-12
"28","Smiley`s Audio-Visual, Inc","ITS - Information Technology Services",2021-09-12
"29","Academic and Performance Travel LLC","Procurement Services",2018-09-26
"30","ATL Travel","Procurement Services",2018-06-13
"31","MCA Transportation","Procurement Services",2018-06-13
"32","Music Celebrations International","Procurement Services",2018-06-13
"33","Phoenix Bus Inc","Procurement Services",2018-06-13
"34","See America Tours","Procurement Services",2018-06-13
"35","VIP's Jet Tours Corp","Procurement Services",2018-06-13
"36","American Motorcoaches","Procurement Services",2018-09-26
